experiment,weight_config,algorithm,total_capacity,load_multiplier,timesteps,seed,training_time_sec,weight_throughput,weight_waiting,weight_queue,weight_balance,weight_transfer,mean_reward,std_reward,mean_length,crash_rate
reward_sensitivity,baseline,A2C,10,5.0,100000,42,147.9375569820404,1.0,-0.1,-0.05,0.5,0.2,352676.1359079887,1519.20652292568,10000.0,0.0
reward_sensitivity,baseline,A2C,10,5.0,100000,43,147.7172930240631,1.0,-0.1,-0.05,0.5,0.2,352464.64157064055,1493.1123515679003,10000.0,0.0
reward_sensitivity,baseline,A2C,10,5.0,100000,44,150.12672305107117,1.0,-0.1,-0.05,0.5,0.2,352258.1049298782,1533.1571485618176,10000.0,0.0
reward_sensitivity,baseline,PPO,10,5.0,100000,42,155.57691884040833,1.0,-0.1,-0.05,0.5,0.2,352765.90394977696,1455.469766381841,10000.0,0.0
reward_sensitivity,baseline,PPO,10,5.0,100000,43,154.0497395992279,1.0,-0.1,-0.05,0.5,0.2,352833.9196457512,1520.5317030443396,10000.0,0.0
reward_sensitivity,baseline,PPO,10,5.0,100000,44,154.80357694625854,1.0,-0.1,-0.05,0.5,0.2,352753.1917505366,1518.8404552180464,10000.0,0.0
reward_sensitivity,throughput_focused,A2C,10,5.0,100000,42,149.98335003852844,2.0,-0.05,-0.025,0.25,0.1,352676.1359079887,1519.20652292568,10000.0,0.0
reward_sensitivity,throughput_focused,A2C,10,5.0,100000,43,149.20103192329407,2.0,-0.05,-0.025,0.25,0.1,352464.64157064055,1493.1123515679003,10000.0,0.0
reward_sensitivity,throughput_focused,A2C,10,5.0,100000,44,150.92216324806213,2.0,-0.05,-0.025,0.25,0.1,352258.1049298782,1533.1571485618176,10000.0,0.0
reward_sensitivity,throughput_focused,PPO,10,5.0,100000,42,155.96309614181519,2.0,-0.05,-0.025,0.25,0.1,352765.90394977696,1455.469766381841,10000.0,0.0
reward_sensitivity,throughput_focused,PPO,10,5.0,100000,43,155.71894788742065,2.0,-0.05,-0.025,0.25,0.1,352833.9196457512,1520.5317030443396,10000.0,0.0
reward_sensitivity,throughput_focused,PPO,10,5.0,100000,44,155.74367022514343,2.0,-0.05,-0.025,0.25,0.1,352753.1917505366,1518.8404552180464,10000.0,0.0
reward_sensitivity,balance_focused,A2C,10,5.0,100000,42,147.2093060016632,0.5,-0.05,-0.025,1.0,0.1,352676.1359079887,1519.20652292568,10000.0,0.0
reward_sensitivity,balance_focused,A2C,10,5.0,100000,43,147.3720920085907,0.5,-0.05,-0.025,1.0,0.1,352464.64157064055,1493.1123515679003,10000.0,0.0
reward_sensitivity,balance_focused,A2C,10,5.0,100000,44,147.6927490234375,0.5,-0.05,-0.025,1.0,0.1,352258.1049298782,1533.1571485618176,10000.0,0.0
reward_sensitivity,balance_focused,PPO,10,5.0,100000,42,154.1350929737091,0.5,-0.05,-0.025,1.0,0.1,352765.90394977696,1455.469766381841,10000.0,0.0
reward_sensitivity,balance_focused,PPO,10,5.0,100000,43,153.30655217170715,0.5,-0.05,-0.025,1.0,0.1,352833.9196457512,1520.5317030443396,10000.0,0.0
reward_sensitivity,balance_focused,PPO,10,5.0,100000,44,154.42930793762207,0.5,-0.05,-0.025,1.0,0.1,352753.1917505366,1518.8404552180464,10000.0,0.0
reward_sensitivity,efficiency_focused,A2C,10,5.0,100000,42,150.54866909980774,1.0,-0.2,-0.1,0.25,0.1,352676.1359079887,1519.20652292568,10000.0,0.0
reward_sensitivity,efficiency_focused,A2C,10,5.0,100000,43,149.00124382972717,1.0,-0.2,-0.1,0.25,0.1,352464.64157064055,1493.1123515679003,10000.0,0.0
reward_sensitivity,efficiency_focused,A2C,10,5.0,100000,44,150.05256295204163,1.0,-0.2,-0.1,0.25,0.1,352258.1049298782,1533.1571485618176,10000.0,0.0
reward_sensitivity,efficiency_focused,PPO,10,5.0,100000,42,155.6447319984436,1.0,-0.2,-0.1,0.25,0.1,352765.90394977696,1455.469766381841,10000.0,0.0
reward_sensitivity,efficiency_focused,PPO,10,5.0,100000,43,155.68749690055847,1.0,-0.2,-0.1,0.25,0.1,352833.9196457512,1520.5317030443396,10000.0,0.0
reward_sensitivity,efficiency_focused,PPO,10,5.0,100000,44,156.193589925766,1.0,-0.2,-0.1,0.25,0.1,352753.1917505366,1518.8404552180464,10000.0,0.0
