配置名称,配置类型,容量分布,总容量,算法,平均奖励,奖励标准差,崩溃率,完成率,平均Episode长度,数据来源
inverted_pyramid,倒金字塔,"[8, 6, 4, 3, 2]",23,A2C,9864.40,3690.63,16.00%,84.00%,180.98,ablation_study_final
inverted_pyramid,倒金字塔,"[8, 6, 4, 3, 2]",23,PPO,7822.99,4103.77,42.00%,58.00%,150.60,ablation_study_final
inverted_pyramid,倒金字塔,"[8, 6, 4, 3, 2]",23,TD7,545491.06,2159.01,0.00%,100.00%,10000.00,ablation_study_final
uniform,均匀,"[5, 5, 5, 5, 5]",25,A2C,9239.09,3033.38,10.00%,90.00%,186.92,ablation_study_final
uniform,均匀,"[5, 5, 5, 5, 5]",25,PPO,6395.06,3583.75,60.00%,40.00%,130.34,ablation_study_final
uniform,均匀,"[5, 5, 5, 5, 5]",25,TD7,507561.15,2101.00,0.00%,100.00%,10000.00,ablation_study_final
high_capacity,高容量,"[8, 8, 8, 8, 8]",40,A2C,-30.21,26.12,100.00%,0.00%,1.00,ablation_study_final
high_capacity,高容量,"[8, 8, 8, 8, 8]",40,PPO,-34.61,24.22,100.00%,0.00%,1.00,ablation_study_final
high_capacity,高容量,"[8, 8, 8, 8, 8]",40,TD7,-34.88,30.05,100.00%,0.00%,1.00,ablation_study_final
reverse_pyramid,正金字塔,"[2, 3, 4, 6, 8]",23,A2C,5326.45,4539.22,40.00%,60.00%,148.20,ablation_study_final
reverse_pyramid,正金字塔,"[2, 3, 4, 6, 8]",23,PPO,2573.84,2841.72,90.00%,10.00%,77.32,ablation_study_final
reverse_pyramid,正金字塔,"[2, 3, 4, 6, 8]",23,TD7,405833.49,1578.95,0.00%,100.00%,10000.00,ablation_study_final
low_capacity,低容量,"[2, 2, 2, 2, 2]",10,A2C,11146.43,240.18,0.00%,100.00%,200.00,ablation_study_final
low_capacity,低容量,"[2, 2, 2, 2, 2]",10,PPO,11213.90,237.52,0.00%,100.00%,200.00,ablation_study_final
low_capacity,低容量,"[2, 2, 2, 2, 2]",10,TD7,558413.70,1479.09,0.00%,100.00%,10000.00,ablation_study_final
capacity_4x5,均匀20,"[4, 4, 4, 4, 4]",20,A2C,9623.91,6120.62,18.00%,82.00%,183.06,ablation_study_supplementary_10x
capacity_4x5,均匀20,"[4, 4, 4, 4, 4]",20,PPO,12085.18,349.22,2.00%,98.00%,199.96,ablation_study_supplementary_10x
capacity_4x5,均匀20,"[4, 4, 4, 4, 4]",20,TD7,609782.78,2109.61,0.00%,100.00%,10000.00,ablation_study_supplementary
capacity_6x5,均匀30,"[6, 6, 6, 6, 6]",30,A2C,13.78,22.79,100.00%,0.00%,1.00,ablation_study_supplementary_10x
capacity_6x5,均匀30,"[6, 6, 6, 6, 6]",30,PPO,13.22,22.85,100.00%,0.00%,1.00,ablation_study_supplementary_10x
capacity_6x5,均匀30,"[6, 6, 6, 6, 6]",30,TD7,12.98,24.41,100.00%,0.00%,1.00,ablation_study_supplementary
