family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,-402.9470992365184,10.245286791799083,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,-403.37194395618144,10.141229104099768,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,-403.15952159635,10.285020956767104,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,-402.5022545168555,11.469355575209171,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,-402.714676876687,11.37159048414415,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,123162.72628238889,1414.1763287960055,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,123229.7548331364,1480.8594444372454,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,123162.38883643971,1543.3268760282288,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,123156.85691988032,1546.1218220596886,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,123121.27718724123,1584.3011133282635,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,475188.7161831903,1713.5208633476175,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,475221.3305302359,1747.7163096326844,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,475173.02130197117,1703.268801705985,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,475205.21525228204,1661.9917948337732,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,475179.6291100229,1659.8677452473191,10000.0,0.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,-40.55285475867136,12.308612879622471,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,-40.76428333009992,12.231416558208135,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,-40.189997615814214,12.362115927464911,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,-40.12999761581421,12.348497719089854,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,-40.12999761581421,12.348497719089854,1.0,1.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,352308.78737228626,1517.1852412117835,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,352464.64157064055,1493.1123515679003,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,352625.38672874466,1535.1939715740257,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,352575.6821211781,1588.7403522420125,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,352410.42064671137,1620.6081647133171,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,352832.1325383389,1570.9708517913318,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,352845.2006466855,1495.1264310565123,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",5.0,44,352696.612843238,1538.8568738933825,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",5.0,45,352674.0052614666,1595.9149888782056,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",5.0,46,352330.2002876154,1675.2232036825965,10000.0,0.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-1468.7130220722395,15.684422992811125,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-1468.9195001596254,15.444499545431151,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,44,-1468.6953317680482,15.702194132450625,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,45,-1468.001398021887,16.005156389768025,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,46,-1467.5630883899437,16.333723403155155,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-181.2273094128094,18.084261654814455,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-181.42987351537352,18.007539188371002,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,44,-181.03807864357861,18.47857412547035,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,45,-180.4350017205017,19.04072371016905,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,46,-179.62307864357862,19.444014409900582,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-19.36175668775669,22.28339094390092,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-18.952994782994782,22.527904205120933,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,44,-17.914423354423352,22.409281893845325,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,45,-17.73029637029637,22.555277233189997,1.0,1.0
