family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",6.0,42,-48268.34825205448,1629.4514209130798,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",6.0,43,-48213.248762114716,1686.8393362533889,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",6.0,44,-48243.18582428702,1682.2029611100318,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",6.0,45,-48205.51569267761,1676.5807461356599,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",6.0,46,-48227.0301517166,1698.0649663427891,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",7.0,42,-29.63921646411602,11.773588032028682,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",7.0,43,-29.848447233346793,11.852039397075192,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",7.0,44,-29.031524156423714,12.355487581345425,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",7.0,45,-29.011524156423715,12.383786403215833,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",7.0,46,-28.59306261796218,12.595586810490081,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",6.0,42,-244.2111190557317,19.703784850053484,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",6.0,43,-244.16578572239837,19.720478721425724,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",6.0,44,-243.96955495316757,19.950378805051677,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",6.0,45,-243.36755961517224,20.342636638117252,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",6.0,46,-242.9517647433774,20.672950041502027,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",7.0,42,-307.316022327039,18.51006572920713,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",7.0,43,-307.31755741475826,18.50979890676958,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",7.0,44,-307.12832664552747,18.706260435699217,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",7.0,45,-306.52253909973996,18.998003875210358,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",7.0,46,-306.07125704845794,19.27724258846425,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",6.0,42,-507.9134794998714,11.382242785066191,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",6.0,43,-508.2983242195344,11.42560205109952,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",6.0,44,-508.5107465793659,11.144275660575405,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",6.0,45,-507.9334794998714,11.908676879876042,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",6.0,46,-507.9334794998714,11.908676879876042,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",7.0,42,-614.6317182221666,11.800414984345194,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",7.0,43,-615.228985301661,11.641313337779744,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",7.0,44,-615.2289853016609,11.641313337779748,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",7.0,45,-614.6517182221664,12.327861140972404,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",7.0,46,-614.459295862335,12.527112123740183,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",6.0,42,-1792.2194135481175,14.837788892252338,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",6.0,43,-1792.656589094848,14.448068627736388,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",6.0,44,-1792.433378856229,14.733164048876402,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",6.0,45,-1791.739445110068,15.081168895581456,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",6.0,46,-1791.2850765808812,15.454874488621028,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",7.0,42,-2114.762389574301,15.073348628053171,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",7.0,43,-2115.208592036145,14.708025167635864,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",7.0,44,-2115.000238940383,14.955827888036328,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",7.0,45,-2114.323448051365,15.244428398269333,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",7.0,46,-2113.874719273731,15.57546789261394,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",6.0,42,-68.41284569876535,12.932975098482144,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",6.0,43,-68.62427427019392,12.927415575798117,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",6.0,44,-68.28141712733677,13.021490557018831,1.0,1.0
