family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,inverted,15,"[5, 4, 3, 2, 1]",5.0,42,-661.5810101851756,11.954459517073087,1.0,1.0
Heuristic,Heuristic,inverted,15,"[5, 4, 3, 2, 1]",5.0,43,-665.6403039900026,10.332798252903036,1.0,1.0
Heuristic,FCFS,inverted,15,"[5, 4, 3, 2, 1]",5.0,42,-40.82857142857143,16.57013292148327,1.0,1.0
Heuristic,FCFS,inverted,15,"[5, 4, 3, 2, 1]",5.0,43,-32.50024975024975,12.647876103968892,1.0,1.0
Heuristic,SJF,inverted,15,"[5, 4, 3, 2, 1]",5.0,42,34.588411588411596,17.556856135483898,1.0,1.0
Heuristic,SJF,inverted,15,"[5, 4, 3, 2, 1]",5.0,43,44.78181818181819,16.603653884433076,1.0,1.0
Heuristic,Priority,inverted,15,"[5, 4, 3, 2, 1]",5.0,42,-113.62142857142855,14.939889762727468,1.0,1.0
Heuristic,Priority,inverted,15,"[5, 4, 3, 2, 1]",5.0,43,-105.20519480519481,11.91087248920952,1.0,1.0
Heuristic,Heuristic,inverted,20,"[7, 5, 3, 3, 2]",5.0,42,-928.4322488654891,9.939889723741716,1.0,1.0
Heuristic,Heuristic,inverted,20,"[7, 5, 3, 3, 2]",5.0,43,-932.487385990338,8.672676883905295,1.0,1.0
Heuristic,FCFS,inverted,20,"[7, 5, 3, 3, 2]",5.0,42,-75.50683427422557,12.460972927156654,1.0,1.0
Heuristic,FCFS,inverted,20,"[7, 5, 3, 3, 2]",5.0,43,-75.3195357886369,12.25917777966433,1.0,1.0
Heuristic,SJF,inverted,20,"[7, 5, 3, 3, 2]",5.0,42,14.443791809613504,18.21656938618353,1.0,1.0
Heuristic,SJF,inverted,20,"[7, 5, 3, 3, 2]",5.0,43,16.646253418423473,16.92654850145052,1.0,1.0
Heuristic,Priority,inverted,20,"[7, 5, 3, 3, 2]",5.0,42,-171.68219501241896,9.516700683781853,1.0,1.0
Heuristic,Priority,inverted,20,"[7, 5, 3, 3, 2]",5.0,43,-175.56694621627128,9.212160970958662,1.0,1.0
Heuristic,Heuristic,inverted,25,"[9, 7, 4, 3, 2]",5.0,42,-1196.746369685129,13.004260295014301,1.0,1.0
Heuristic,Heuristic,inverted,25,"[9, 7, 4, 3, 2]",5.0,43,-1202.778919685968,9.450427375767717,1.0,1.0
Heuristic,FCFS,inverted,25,"[9, 7, 4, 3, 2]",5.0,42,-121.06214109642028,8.078581740591458,1.0,1.0
Heuristic,FCFS,inverted,25,"[9, 7, 4, 3, 2]",5.0,43,-127.21938289844297,10.871847572973786,1.0,1.0
Heuristic,SJF,inverted,25,"[9, 7, 4, 3, 2]",5.0,42,-4.522418231038921,17.943327306623388,1.0,1.0
Heuristic,SJF,inverted,25,"[9, 7, 4, 3, 2]",5.0,43,-10.583087308796607,17.770837144247857,1.0,1.0
Heuristic,Priority,inverted,25,"[9, 7, 4, 3, 2]",5.0,42,-245.05422041757078,11.06129162258571,1.0,1.0
Heuristic,Priority,inverted,25,"[9, 7, 4, 3, 2]",5.0,43,-251.27739628552754,9.996996687173361,1.0,1.0
