family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",3.0,42,246358.37069269456,1363.6801034161153,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",3.0,43,246242.6298078381,1359.0952379776465,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",3.0,44,568665.4177068077,1544.3188539121445,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",3.0,45,246411.247902085,1339.0472177250942,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",3.0,46,246185.21739230808,1366.2437954390145,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",3.0,42,246485.2816972017,1443.4067530804919,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",3.0,43,246492.4205326332,1372.4038370634116,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",3.0,44,246337.41970489704,1424.690386142944,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",3.0,45,246135.97879146598,1180.5033997139137,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",3.0,46,246346.28173749923,1215.618403587735,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",7.0,42,448237.691031015,1462.5309794985828,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",7.0,43,447594.66484874283,1404.8117167839125,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",7.0,44,447808.51822357846,1406.62810663635,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",7.0,45,447806.2931301175,1420.269001658654,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",7.0,46,447406.2212668227,1423.4506340543198,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",7.0,42,447712.45016070874,1452.7641901198233,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",7.0,43,447900.773194726,1423.6764022749535,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",7.0,44,447696.7849676626,1471.16458966834,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",7.0,45,447805.7503210332,1420.442148600366,10000.0,0.0
RL,PPO,inverted,10,"[3, 3, 2, 1, 1]",7.0,46,447959.58776223124,1391.5217020348293,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",10.0,42,568892.7878153869,1656.6069780029925,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",10.0,43,568437.6092023316,1657.2322181852035,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",10.0,44,568953.4592162679,1608.9184853837949,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",10.0,45,568575.0372708975,1697.6656662252694,10000.0,0.0
RL,A2C,inverted,10,"[3, 3, 2, 1, 1]",10.0,46,569056.3804615422,1691.6176287653311,10000.0,0.0
