family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",5.0,42,-402.29144706677516,0.45714285714286407,1.0,1.0
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",5.0,43,-404.4556706650899,4.027865003691809,1.0,1.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",5.0,42,55529.75299817941,607.5218307026402,10000.0,0.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",5.0,43,55498.12829286377,582.2372381329768,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",5.0,42,391926.22739290865,2427.408620406082,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",5.0,43,392175.5219692794,2330.782408682045,10000.0,0.0
Heuristic,Priority,reverse,10,"[1, 1, 2, 3, 3]",5.0,42,-47.29285475867135,9.466762479154882,1.0,1.0
Heuristic,Priority,reverse,10,"[1, 1, 2, 3, 3]",5.0,43,-45.778569044385634,10.790925893205506,1.0,1.0
Heuristic,Heuristic,reverse,30,"[3, 4, 5, 8, 10]",5.0,42,-1464.2166948163351,12.58447603942931,1.0,1.0
Heuristic,Heuristic,reverse,30,"[3, 4, 5, 8, 10]",5.0,43,-1470.6278019752626,8.66223699274573,1.0,1.0
Heuristic,FCFS,reverse,30,"[3, 4, 5, 8, 10]",5.0,42,-175.17738915033368,8.555173636537994,1.0,1.0
Heuristic,FCFS,reverse,30,"[3, 4, 5, 8, 10]",5.0,43,-181.53543150368415,12.30067034023509,1.0,1.0
Heuristic,SJF,reverse,30,"[3, 4, 5, 8, 10]",5.0,42,-26.334214999598363,14.534694382820577,1.0,1.0
Heuristic,SJF,reverse,30,"[3, 4, 5, 8, 10]",5.0,43,-34.60082990643066,17.49781774382695,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",5.0,42,-323.03695049767373,12.241689203122078,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",5.0,43,-329.4609269169582,12.202975006098319,1.0,1.0
