family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",6.0,42,-517.2730001557567,10.182806939721862,1.0,1.0
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",6.0,43,-517.7645115420862,9.715392011292021,1.0,1.0
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",6.0,44,-518.1733562617492,9.373641897067666,1.0,1.0
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",6.0,45,-517.9720450130288,9.67526240203757,1.0,1.0
Heuristic,Heuristic,reverse,10,"[1, 1, 2, 3, 3]",6.0,46,-518.1844673728604,9.62293446041348,1.0,1.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",6.0,42,-125909.24699162618,1189.9806863116598,10000.0,0.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",6.0,43,-125874.10280398982,1193.8297449615568,10000.0,0.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",6.0,44,-125881.77891544331,1188.2488010138425,10000.0,0.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",6.0,45,-125849.6751684069,1177.8182534417797,10000.0,0.0
Heuristic,FCFS,reverse,10,"[1, 1, 2, 3, 3]",6.0,46,-125821.92217362681,1132.912403002516,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",6.0,42,393480.945513918,1265.2282530584719,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",6.0,43,393415.1428889214,1337.2106033518428,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",6.0,44,393375.93627414166,1351.011826535869,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",6.0,45,393313.5019160691,1377.9887199071343,10000.0,0.0
Heuristic,SJF,reverse,10,"[1, 1, 2, 3, 3]",6.0,46,393290.40375196596,1392.219739183709,10000.0,0.0
