family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,-396.8144284415742,4.797480457267996,1.0,1.0
Heuristic,Heuristic,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,-398.938652039889,3.505964641570412,1.0,1.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,123103.57016132155,678.8006219252994,10000.0,0.0
Heuristic,FCFS,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,123058.1934720901,694.2498563678092,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,475188.6938505904,2047.4558972739637,10000.0,0.0
Heuristic,SJF,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,474963.40533101733,1984.3235595329338,10000.0,0.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,42,-41.549997615814206,7.637501461304512,1.0,1.0
Heuristic,Priority,uniform,10,"[2, 2, 2, 2, 2]",5.0,43,-40.2357119015285,9.656804727808282,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-1465.1349632423394,12.777073127286132,1.0,1.0
Heuristic,Heuristic,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-1471.7005039125065,8.874281648016254,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-175.1769230769231,8.612272026260346,1.0,1.0
Heuristic,FCFS,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-181.46336996336996,12.64859621751756,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-25.86174603174603,14.714087277989355,1.0,1.0
Heuristic,SJF,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-33.988778998779,17.887980653539216,1.0,1.0
Heuristic,Priority,uniform,30,"[6, 6, 6, 6, 6]",5.0,42,-323.05003663003663,12.097972953989405,1.0,1.0
Heuristic,Priority,uniform,30,"[6, 6, 6, 6, 6]",5.0,43,-329.40241758241757,12.406564492082778,1.0,1.0
