family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,uniform,15,"[3, 3, 3, 3, 3]",5.0,42,-658.3527334510344,9.077064197197238,1.0,1.0
Heuristic,Heuristic,uniform,15,"[3, 3, 3, 3, 3]",5.0,43,-662.6011806476639,8.249817953312464,1.0,1.0
Heuristic,FCFS,uniform,15,"[3, 3, 3, 3, 3]",5.0,42,-41.1,16.99839184875401,1.0,1.0
Heuristic,FCFS,uniform,15,"[3, 3, 3, 3, 3]",5.0,43,-32.7974358974359,13.509337360645576,1.0,1.0
Heuristic,SJF,uniform,15,"[3, 3, 3, 3, 3]",5.0,42,37.8952380952381,22.923760064836745,1.0,1.0
Heuristic,SJF,uniform,15,"[3, 3, 3, 3, 3]",5.0,43,48.04761904761905,20.69837374618985,1.0,1.0
Heuristic,Priority,uniform,15,"[3, 3, 3, 3, 3]",5.0,42,-111.97857142857143,16.95578884954056,1.0,1.0
Heuristic,Priority,uniform,15,"[3, 3, 3, 3, 3]",5.0,43,-103.58809523809525,13.497344998015903,1.0,1.0
Heuristic,Heuristic,uniform,20,"[4, 4, 4, 4, 4]",5.0,42,-927.3393910731298,9.277759082992965,1.0,1.0
Heuristic,Heuristic,uniform,20,"[4, 4, 4, 4, 4]",5.0,43,-931.5878382697592,8.33773636866632,1.0,1.0
Heuristic,FCFS,uniform,20,"[4, 4, 4, 4, 4]",5.0,42,-75.28025641025641,12.70125190162401,1.0,1.0
Heuristic,FCFS,uniform,20,"[4, 4, 4, 4, 4]",5.0,43,-75.09739926739925,12.504876276479784,1.0,1.0
Heuristic,SJF,uniform,20,"[4, 4, 4, 4, 4]",5.0,42,14.490952380952383,18.138555570550295,1.0,1.0
Heuristic,SJF,uniform,20,"[4, 4, 4, 4, 4]",5.0,43,16.654761904761905,16.852420646086813,1.0,1.0
Heuristic,Priority,uniform,20,"[4, 4, 4, 4, 4]",5.0,42,-171.6333428700765,9.587017629559165,1.0,1.0
Heuristic,Priority,uniform,20,"[4, 4, 4, 4, 4]",5.0,43,-175.5190571557908,9.305935247948062,1.0,1.0
Heuristic,Heuristic,uniform,25,"[5, 5, 5, 5, 5]",5.0,42,-1194.45065274938,12.07095955652339,1.0,1.0
Heuristic,Heuristic,uniform,25,"[5, 5, 5, 5, 5]",5.0,43,-1200.7076372698143,8.395518866969416,1.0,1.0
Heuristic,FCFS,uniform,25,"[5, 5, 5, 5, 5]",5.0,42,-121.71648142138096,8.28494174640946,1.0,1.0
Heuristic,FCFS,uniform,25,"[5, 5, 5, 5, 5]",5.0,43,-127.90451560941514,10.841026030506155,1.0,1.0
Heuristic,SJF,uniform,25,"[5, 5, 5, 5, 5]",5.0,42,-4.574603174603171,18.017851510129287,1.0,1.0
Heuristic,SJF,uniform,25,"[5, 5, 5, 5, 5]",5.0,43,-10.646031746031742,17.920240973076552,1.0,1.0
Heuristic,Priority,uniform,25,"[5, 5, 5, 5, 5]",5.0,42,-245.81281849628576,10.538768458360261,1.0,1.0
Heuristic,Priority,uniform,25,"[5, 5, 5, 5, 5]",5.0,43,-252.06678675025404,9.10394487643658,1.0,1.0
