family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",8.0,42,485552.518793634,1569.364122437609,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",8.0,43,485454.3842058262,1622.2587951124815,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",8.0,44,485015.5746410369,1576.5141268248678,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",8.0,45,485771.9339448599,1562.070200423273,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",8.0,46,485198.1281819159,1559.6656217598033,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",8.0,42,485745.7943502853,1572.7543175794112,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",8.0,43,485836.03523891227,1623.739018550236,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",8.0,44,485753.4132077588,1579.292358961537,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",8.0,45,485764.55194208695,1562.79086915847,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",8.0,46,485780.1664291998,1528.3387993192057,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",9.0,42,523609.0642976567,1532.058112885066,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",9.0,43,523379.5105371656,1514.4571902304426,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",9.0,44,523083.9749876735,1561.602456115618,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",9.0,45,523472.85747519525,1576.4398653783687,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",9.0,46,523058.08274373703,1579.4929389349525,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",9.0,42,523821.2991971876,1532.7608647596203,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",9.0,43,523522.1950629888,1483.684279023598,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",9.0,44,523705.81819893303,1554.3654836248174,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",9.0,45,523684.7631555021,1577.1807277986068,10000.0,0.0
RL,PPO,uniform,10,"[2, 2, 2, 2, 2]",9.0,46,523714.1392877786,1566.4073228910013,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",10.0,42,558661.7389752032,1483.179904302736,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",10.0,43,558435.6888010328,1476.868850861314,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",10.0,44,558157.1977788603,1453.4040681450808,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",10.0,45,558580.1560340142,1475.3593873056295,10000.0,0.0
RL,A2C,uniform,10,"[2, 2, 2, 2, 2]",10.0,46,558034.3362566502,1552.6349276991589,10000.0,0.0
