family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
Heuristic,FCFS,uniform,10,5.0,5,123166.6008118173,39.275811571620785,0.0
Heuristic,FCFS,uniform,30,5.0,5,-180.75066838716836,0.7318153802850983,1.0
Heuristic,Heuristic,uniform,10,5.0,5,-402.9390992365185,0.3453995051905608,1.0
Heuristic,Heuristic,uniform,30,5.0,5,-1468.3784680823487,0.5727282403968063,1.0
Heuristic,Priority,uniform,10,5.0,5,-40.35342618724278,0.28944986524404775,1.0
Heuristic,Priority,uniform,30,5.0,5,-328.4594427709545,0.41062328775285684,1.0
Heuristic,SJF,uniform,10,5.0,5,475193.5824755404,19.66224238961663,0.0
Heuristic,SJF,uniform,30,5.0,5,-18.217724941724942,0.917060057413913,1.0
RL,A2C,uniform,10,5.0,5,352476.98368791223,127.11983535257012,0.0
RL,A2C,uniform,30,5.0,5,737259.0529216782,15572.146954570451,0.124
RL,PPO,uniform,10,5.0,5,352675.6303154689,207.97346850445976,0.0
RL,PPO,uniform,30,5.0,5,718884.4891398294,41736.23562323901,0.17200000000000001
