family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
Heuristic,FCFS,inverted,15,5.0,2,-36.66441058941059,5.88901273464419,1.0
Heuristic,FCFS,inverted,20,5.0,2,-75.41318503143123,0.13244002926571433,1.0
Heuristic,FCFS,inverted,25,5.0,2,-124.14076199743162,4.353827431615526,1.0
Heuristic,Heuristic,inverted,15,5.0,2,-663.6106570875891,2.870354176221759,1.0
Heuristic,Heuristic,inverted,20,5.0,2,-930.4598174279135,2.867414959621975,1.0
Heuristic,Heuristic,inverted,25,5.0,2,-1199.7626446855484,4.2656570134403475,1.0
Heuristic,Priority,inverted,15,5.0,2,-109.41331168831168,5.951175968155078,1.0
Heuristic,Priority,inverted,20,5.0,2,-173.62457061434512,2.746933919466578,1.0
Heuristic,Priority,inverted,25,5.0,2,-248.16580835154917,4.4004498567487005,1.0
Heuristic,SJF,inverted,15,5.0,2,39.68511488511489,7.207826925589466,1.0
Heuristic,SJF,inverted,20,5.0,2,15.545022614018489,1.557375538892562,1.0
Heuristic,SJF,inverted,25,5.0,2,-7.552752769917764,4.285540203410078,1.0
