family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
RL,A2C,inverted,10,3.0,5,310772.57670034666,144166.50881098708,0.0
RL,A2C,inverted,10,7.0,5,447770.6777000553,310.0850008162231,0.0
RL,A2C,inverted,10,10.0,5,568783.0547932852,263.8133195885577,0.0
RL,A2C,inverted,30,3.0,5,594879.7723727543,304.47382869518117,0.0
RL,A2C,inverted,30,7.0,5,96594.63760828381,53727.22823725942,0.992
RL,A2C,inverted,30,10.0,5,17.186723380158476,0.9052105441392254,1.0
RL,PPO,inverted,10,3.0,5,246359.47649273943,145.0111143527907,0.0
RL,PPO,inverted,10,7.0,5,447815.0692812723,114.93417452094639,0.0
RL,PPO,inverted,10,10.0,5,568975.1332507756,267.27015295056253,0.0
RL,PPO,inverted,30,3.0,5,594660.1182434676,66.41967806198187,0.0
RL,PPO,inverted,30,7.0,5,67035.06839125637,54570.47704913686,0.9960000000000001
RL,PPO,inverted,30,10.0,5,16.393202680433888,1.0135073892681945,1.0
