family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
RL,A2C,reverse,10,3.0,5,277192.52633017604,103745.16080604325,0.0
RL,A2C,reverse,10,7.0,5,387415.859943112,158.34596005175726,0.0
RL,A2C,reverse,10,10.0,5,475473.46701576374,224.65478847983826,0.0
RL,A2C,reverse,30,3.0,5,580180.4183808881,775.432981697975,0.0
RL,A2C,reverse,30,7.0,5,110886.04192388563,43636.34876999223,0.9879999999999999
RL,A2C,reverse,30,10.0,5,12.002804290258066,0.5666777371924353,1.0
RL,PPO,reverse,10,3.0,5,230863.10091642145,110.97204857745638,0.0
RL,PPO,reverse,10,7.0,5,387574.12116042094,165.59523949525598,0.0
RL,PPO,reverse,10,10.0,5,475395.0274456161,111.3349684997063,0.0
RL,PPO,reverse,30,3.0,5,579718.3153014819,75.3400467460326,0.0
RL,PPO,reverse,30,7.0,5,64325.14267843254,36366.619207325144,1.0
RL,PPO,reverse,30,10.0,5,10.999319448436014,0.5918693337726766,1.0
