family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
Heuristic,FCFS,reverse,10,6.0,5,-125867.3452106186,33.11056793557304,0.0
Heuristic,FCFS,reverse,30,6.0,5,-245.3687544687672,0.39635609532381577,1.0
Heuristic,Heuristic,reverse,10,6.0,5,-517.8734760690962,0.3770955277903185,1.0
Heuristic,Heuristic,reverse,30,6.0,5,-1791.7243495850864,0.5187879065949295,1.0
Heuristic,Priority,reverse,10,6.0,5,-75.50484569876535,0.2525429848237079,1.0
Heuristic,Priority,reverse,30,6.0,5,-422.09583215571257,0.35641515330393686,1.0
Heuristic,SJF,reverse,10,6.0,5,393375.1860690032,77.09595718944514,0.0
Heuristic,SJF,reverse,30,6.0,5,-60.26727151802481,0.17653450650692645,1.0
RL,A2C,reverse,10,6.0,5,353191.1221976903,58.15765094559953,0.0
RL,A2C,reverse,30,6.0,5,207093.2528668892,45837.655429497645,0.9640000000000001
RL,PPO,reverse,10,6.0,5,353361.131216559,39.0282289395471,0.0
RL,PPO,reverse,30,6.0,5,181845.53832383576,29866.686439014175,0.9800000000000001
