family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
Heuristic,FCFS,uniform,15,5.0,2,-36.948717948717956,5.870799378159079,1.0
Heuristic,FCFS,uniform,20,5.0,2,-75.18882783882783,0.12929952570269457,1.0
Heuristic,FCFS,uniform,25,5.0,2,-124.81049851539805,4.375600936573161,1.0
Heuristic,Heuristic,uniform,15,5.0,2,-660.4769570493492,3.004105822249706,1.0
Heuristic,Heuristic,uniform,20,5.0,2,-929.4636146714445,3.004105822249666,1.0
Heuristic,Heuristic,uniform,25,5.0,2,-1197.5791450095971,4.424356184178382,1.0
Heuristic,Priority,uniform,15,5.0,2,-107.78333333333333,5.9329626116699705,1.0
Heuristic,Priority,uniform,20,5.0,2,-173.57620001293364,2.7476149211820236,1.0
Heuristic,Priority,uniform,25,5.0,2,-248.93980262326988,4.422223361706374,1.0
Heuristic,SJF,uniform,15,5.0,2,42.971428571428575,7.178817416617711,1.0
Heuristic,SJF,uniform,20,5.0,2,15.572857142857144,1.5300443874817475,1.0
Heuristic,SJF,uniform,25,5.0,2,-7.610317460317456,4.293148314346896,1.0
