family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
RL,A2C,uniform,10,8.0,5,485398.50795345457,297.10201956986407,0.0
RL,A2C,uniform,10,9.0,5,523320.69800828566,242.26591765597968,0.0
RL,A2C,uniform,10,10.0,5,558373.8235691522,269.941679989706,0.0
RL,A2C,uniform,30,8.0,5,117122.3600465705,185508.8277302026,0.9
RL,A2C,uniform,30,9.0,5,28.67467938635999,1.090093024737072,1.0
RL,A2C,uniform,30,10.0,5,17.166489848382586,1.063546944631899,1.0
RL,PPO,uniform,10,8.0,5,485775.9922336486,35.96940099015189,0.0
RL,PPO,uniform,10,9.0,5,523689.64298047806,107.53799784841075,0.0
RL,PPO,uniform,10,10.0,5,558736.6187038643,260.2092316512219,0.0
RL,PPO,uniform,30,8.0,5,21661.179146141345,21178.362554411993,1.0
RL,PPO,uniform,30,9.0,5,28.502956998557003,1.1394724928249764,1.0
RL,PPO,uniform,30,10.0,5,16.672114381009578,1.0569539445833331,1.0
