Wall time,Step,Value
1759284128.965939,950,400.9821472167969
1759284129.1920052,1250,473.12542724609375
1759284129.788042,2050,657.8504028320312
1759284129.8624692,2150,698.8508911132812
1759284129.972981,2300,737.2163696289062
1759284130.392642,2850,809.6260375976562
1759284130.95936,3600,890.4083862304688
1759284131.070015,3750,887.1239013671875
1759284131.822811,4750,593.2931518554688
1759284132.277048,5350,624.146728515625
1759284133.026507,6350,18.901491165161133
1759284134.116086,7800,44.17720413208008
1759284134.2262459,7950,49.96125030517578
1759284134.5693219,8400,83.376953125
1759284135.179502,9200,150.43040466308594
1759284135.255719,9300,150.43040466308594
1759284137.062289,11500,328.8645935058594
1759284137.377264,11750,358.33673095703125
1759284137.955662,12500,404.48150634765625
1759284138.1821618,12800,437.88641357421875
1759284138.371986,13050,454.3546447753906
1759284138.6343522,13400,484.2012939453125
1759284138.8651881,13700,497.202392578125
1759284140.4492679,15450,634.2678833007812
1759284140.5264509,15550,652.2431030273438
1759284140.842515,15950,684.99951171875
1759284141.6372879,17000,254.40614318847656
1759284141.956185,17400,256.5369567871094
1759284142.712737,18400,83.6729965209961
1759284144.739285,21100,96.5608139038086
1759284144.775418,21150,98.07466888427734
1759284145.392941,22000,14.730620384216309
1759284145.5047271,22150,15.728445053100586
1759284145.6162,22300,19.85164451599121
1759284146.17446,23050,83.32449340820312
1759284146.286873,23200,83.32449340820312
1759284146.323808,23250,102.15755462646484
1759284146.704816,23750,131.0022430419922
1759284147.421066,24700,216.41961669921875
1759284148.274152,25750,274.1460876464844
1759284148.965088,26600,-23.701953887939453
1759284149.1492,26850,-22.43608283996582
1759284150.133835,28200,-21.71696662902832
1759284150.507843,28700,-22.006820678710938
1759284150.7308512,29000,-4.868558406829834
1759284150.9906151,29350,13.373906135559082
1759284151.027336,29400,31.44939613342285
1759284152.299315,31050,67.2602767944336
1759284152.372145,31150,84.25141143798828
1759284152.822022,31750,63.1659049987793
1759284153.08421,32100,14.642461776733398
1759284153.131517,32150,14.642461776733398
1759284153.20991,32250,32.167236328125
1759284153.390448,32400,32.167236328125
1759284153.476154,32500,49.411354064941406
1759284153.943039,33100,100.09362030029297
1759284154.3529558,33600,133.8953857421875
1759284156.099278,35750,96.49384307861328
1759284156.396259,36150,130.80990600585938
1759284156.691464,36550,165.133056640625
1759284157.025852,37000,198.30081176757812
1759284157.5040178,37650,250.8252716064453
1759284157.651107,37850,268.7776184082031
1759284157.981266,38300,319.1297302246094
1759284158.127706,38500,336.3616943359375
1759284158.202156,38600,336.3616943359375
1759284158.2758698,38700,354.06396484375
1759284158.534642,39050,370.66259765625
1759284158.71807,39300,404.6397705078125
1759284158.7915058,39400,404.6397705078125
1759284158.98482,39650,422.2247619628906
1759284159.059998,39750,439.31793212890625
1759284159.209056,39950,457.0991516113281
1759284159.365659,40150,475.58428955078125
1759284159.5935218,40450,492.3800048828125
1759284159.630409,40500,510.1170959472656
1759284160.5184572,41650,597.2703857421875
1759284160.66804,41850,614.096435546875
1759284161.9868941,43500,769.7069091796875
1759284162.2596211,43850,786.7169189453125
1759284162.481138,44150,820.8340454101562
1759284163.014107,44850,871.8851928710938
1759284163.161639,45050,889.727783203125
1759284163.439467,45400,923.5647583007812
1759284163.5174458,45500,942.1273803710938
1759284163.824067,45900,975.8190307617188
1759284164.399186,46600,1027.0361328125
1759284164.467815,46650,1027.0361328125
1759284164.853647,47150,1078.6756591796875
1759284164.9762402,47300,1095.516357421875
1759284165.351626,47750,1129.1116943359375
1759284165.661654,48150,1163.1259765625
1759284166.005552,48600,1197.9100341796875
1759284166.043177,48650,1197.9100341796875
1759284166.279458,48950,1233.693359375
1759284166.318432,49000,1233.693359375
1759284166.507523,49250,1250.7408447265625
1759284167.193561,50150,1338.468017578125
1759284167.3046248,50300,1355.6077880859375
1759284167.6427279,50750,1388.43994140625
1759284168.776408,52250,1506.39892578125
1759284169.2699919,52900,1575.161376953125
1759284169.495119,53200,1592.371826171875
1759284169.6237981,53350,1610.216552734375
1759284169.7004778,53450,1610.216552734375
1759284169.851232,53650,1628.74853515625
1759284170.082325,53950,1663.193359375
1759284170.280538,54200,1680.400634765625
1759284170.677012,54700,1697.23291015625
1759284170.9113321,55000,1697.35205078125
1759284171.1012821,55250,1697.2655029296875
1759284171.478225,55750,1700.1558837890625
1759284173.109013,57850,1701.143310546875
1759284173.257905,58050,905.5194702148438
1759284173.295027,58100,875.2305297851562
