Wall time,Step,Value
1759031791.007195,10240,112.51008605957031
1759031830.065055,20480,362.2051086425781
1759031869.314944,30720,896.6617431640625
1759031912.289438,40960,1197.81103515625
1759031953.1481578,51200,1390.782470703125
1759031989.854238,61440,1525.71630859375
1759032019.398012,71680,1480.5050048828125
1759032058.3031821,81920,1419.1070556640625
1759032094.922049,92160,1432.6575927734375
1759032135.3505611,102400,1554.27001953125
1759032170.47732,112640,1722.5865478515625
1759032201.864977,122880,1847.3470458984375
1759032235.928705,133120,2076.945556640625
1759032274.1292732,143360,2477.6826171875
1759032312.523026,153600,2842.983154296875
1759032344.805064,163840,3046.79736328125
1759032390.303703,174080,3238.544677734375
1759032437.1772008,184320,3464.0732421875
1759032487.039896,194560,3557.21337890625
1759032537.189048,204800,3626.44970703125
1759032570.5530722,215040,3731.72412109375
1759032616.3015418,225280,3970.121826171875
1759032665.47529,235520,4059.6328125
1759032729.9171,245760,4049.044677734375
1759032787.436175,256000,4089.0322265625
1759032835.6432462,266240,4237.83203125
1759032881.619282,276480,4370.7275390625
1759032925.0852532,286720,4291.0322265625
1759032978.215799,296960,4297.46240234375
1759033038.0433679,307200,4376.67822265625
1759033089.055841,317440,4281.04541015625
1759033137.5121422,327680,4236.25244140625
1759033177.893141,337920,4253.8642578125
1759033215.6723819,348160,4267.78271484375
1759033250.2841978,358400,4261.30078125
1759033281.0616782,368640,4227.63916015625
1759033311.649056,378880,4291.123046875
1759033341.574235,389120,4304.0087890625
1759033366.988596,399360,4217.51416015625
1759033391.700659,409600,4231.34228515625
1759033414.822277,419840,4219.1845703125
1759033438.700829,430080,4245.814453125
1759033462.2092721,440320,4348.24365234375
1759033486.230465,450560,4262.90625
1759033508.192835,460800,4196.3466796875
1759033531.5268779,471040,4251.1728515625
1759033555.430197,481280,4328.72216796875
1759033579.666334,491520,4324.98095703125
